offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
767157575721633242	2016-06-10T00:00:00+03:00	2016-08-10T00:00:00+03:00	4990000.0	14	False	2	False	53.0	9.4	27.0		0.0	1	2	Россия, Санкт-Петербург, улица Сикейроса, 19к2	7488548044275013950
1895417349461172992	2016-09-16T00:00:00+03:00	2018-05-25T00:00:00+03:00	3100000.0	9	False	1	False	51.3	11.8	22.1		3.0	1	2	Россия, Ленинградская область, Всеволожский район, Колтушское сельское поселение, деревня Старая, улица Генерала Чоглокова, 1	6388985142595038319
5153034022900290638	2017-08-07T00:00:00+03:00	2017-09-10T00:00:00+03:00	4700000.0	5	False	1	False	42.0	11.5	19.0		0.0	1	2	Россия, Санкт-Петербург, улица Руднева, 9к3	513863039106027773
2554639205113665191	2017-06-22T00:00:00+03:00	2018-05-11T00:00:00+03:00	8600000.0	3	False	3	False	65.9	5.0	46.9			1	2	Россия, Санкт-Петербург, Сапёрный переулок, 16/36	3644379288786763786
1583202797297378896	2016-05-27T00:00:00+03:00	2016-05-31T00:00:00+03:00	28000.0	5	False	3	False	50.4	10.0	32.0		0.0	2	2	Россия, Санкт-Петербург, проспект Авиаконструкторов, 11	262308617528631609
2114962784005898241	2017-01-25T00:00:00+03:00	2017-02-15T00:00:00+03:00	30000.0	4	False	2	False	54.0			100.0	11.0	2	2	Россия, Санкт-Петербург, Железноводская улица, 54	7303267473909932558
5325480770064854273	2016-06-22T00:00:00+03:00	2016-10-30T00:00:00+03:00	3300000.0	9	False	1	False	33.5	9.0	16.9		3.0	1	2	Россия, Санкт-Петербург, улица Лёни Голикова, 76	6237537559065427622
5029328	2016-01-08T00:00:00+03:00	2016-03-04T00:00:00+03:00	40000.0	9	False	2	False	68.0	12.0	33.0		1.0	2	2	Россия, Санкт-Петербург, Рыбацкий проспект, 18к2	6889498594036030650
2191548731870307126	2017-08-31T00:00:00+03:00	2017-09-06T00:00:00+03:00	4200000.0	1	False	2	False	54.1	7.1	39.5		0.0	1	2	Россия, Санкт-Петербург, Светлановский проспект, 119	5263501251510395179
481732301499310081	2018-07-15T00:00:00+03:00	2018-08-04T00:00:00+03:00	37000.0	9	False	2	False	45.0			100.0		2	2	Россия, Санкт-Петербург, Дивенская улица, 5	5319753556228796281
236598634411166065	2017-10-12T00:00:00+03:00	2018-02-03T00:00:00+03:00	22000.0	3	False	1	False	35.0	7.0	19.0	100.0	11.0	2	2	Россия, Санкт-Петербург, Морская набережная, 29	4451496504285764071
8909078292510255360	2017-02-09T00:00:00+03:00	2017-06-18T00:00:00+03:00	9900000.0	4	False	5	False	183.0	14.0	112.0		2.0	1	2	Россия, Санкт-Петербург, Ленинский проспект, 147к2	2371480959169199912
7340091001889613711	2017-08-03T00:00:00+03:00	2018-08-20T00:00:00+03:00	10500000.0	3	False	3	False	114.7	18.5	52.2	100.0		1	2	Россия, Санкт-Петербург, Гончарная улица, 20	3009368438991719741
3424193383440256001	2018-02-22T00:00:00+03:00	2018-04-19T00:00:00+03:00	18000.0	18	False	0	True	26.0		16.0	50.0		2	2	Россия, Санкт-Петербург, Полевая Сабировская улица, 47к1	5228820002942450922
3375339907715558868	2017-02-22T00:00:00+03:00	2017-02-23T00:00:00+03:00	25000.0	5	False	1	False	38.0	6.0	20.0	100.0	0.0	2	2	Россия, Санкт-Петербург, улица Димитрова, 37к1	4460556686433372039
7847302237689893120	2017-04-01T00:00:00+03:00	2017-04-08T00:00:00+03:00	16000.0	3	False	2	False	42.0	8.5		80.0	3.0	2	2	Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, территория Славянка, Ростовская улица, 13-15	4153179922410595683
2846585861606888448	2018-03-01T00:00:00+03:00	2018-05-27T00:00:00+03:00	6800000.0	7	False	3	False	80.0	12.6	48.0		10.0	1	2	Россия, Санкт-Петербург, Муринская дорога, 78	4270113882553473868
1896730478027009866	2016-01-22T00:00:00+03:00	2017-05-31T00:00:00+03:00	65000.0	6	False	2	False	75.0	20.0	40.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Московский проспект, 73	4901520549922120761
